name,mass_kg,mean_radius_km,position_x_km,position_y_km,position_z_km,velocity_x_km,velocity_y_km,velocity_z_km
Hebe,1.82166e+19,1.295536e+02,92657440.71800691,-337095353.1029289,50936281.8433677,17.250497007554745,8.174481600791616,-4.597784396798478
Iris,1.63105e+19,1.248675e+02,160314497.42433003,223693165.5061296,11476846.378929371,-19.23097835516678,14.756068022061928,-2.0783865406863185
Flora,4.51301e+18,8.136720e+01,-298471560.95259434,-233463806.35272098,37412729.68025348,10.57618624757897,-13.488640744736752,-0.5133121573127225
Metis,8.28832e+18,9.964359e+01,-274771130.6773697,-281418090.9278837,15354332.016708707,11.506009367231027,-12.960539824399179,-1.4995858785670915
Hygiea,1.74770e+19,1.277760e+02,253125211.22238207,-368877567.73513263,10682493.688751165,15.397788905423461,8.538018450250094,1.1374662384573138
Parthenope,3.87674e+18,7.734805e+01,77845673.4991316,371116632.83753395,-22725137.042796936,-17.49603742282602,5.494760114566376,0.8886847594824334
Victoria,1.76387e+18,5.949074e+01,284897476.5024516,-34032209.910984084,37488450.34369022,6.110913760268369,22.329349364668253,-1.1041398645858003
Egeria,3.02320e+18,7.119498e+01,148879463.0683236,331133011.3458816,40731176.37692363,-17.929547396156043,6.008659379101231,4.959337671769044
Irene,4.97126e+18,8.403290e+01,14466604.10645633,384048658.36241645,1559318.6688414412,-18.27085416552646,-2.3565952238853454,2.9065465233801033
Eunomia,2.33597e+19,1.407503e+02,189359377.45923224,257258155.95574024,57410725.03939171,-16.578889910728282,14.255422252879443,-1.9961347887458891
Psyche,8.06244e+18,9.873005e+01,-491090.22492769436,-449895487.3970989,21154582.38391897,16.7578240480082,2.1737857283704027,-0.5496819764220914
Thetis,7.59393e+17,4.492099e+01,327914202.5208097,223795575.17978096,-38852187.20002629,-8.298723854570227,15.418165489092514,-0.2264793907508575
Melpomene,6.46348e+18,9.171690e+01,-376398697.31147057,-170836778.06588635,59490805.06881441,7.115190188070132,-14.002203814512642,1.5603708681094977
Fortuna,1.35665e+18,5.450663e+01,84391392.50058489,306633085.5007481,-5959103.050257916,-20.310376659501962,7.644052951301306,-0.46952735186755495
Massalia,5.04042e+18,8.442078e+01,142638824.69304103,284158916.4686693,-2348161.8262715265,-20.042424940267637,8.04323693195626,-0.19897229416302029
Lutetia,1.37552e+18,5.475822e+01,-375247643.6740042,196458437.93771473,21467514.727278404,-7.425645653053428,-14.358175642710389,0.2749571343051914
Kalliope,3.56834e+18,7.524010e+01,-226772623.46679205,-420916666.6526664,9503971.143182646,13.450183088434581,-7.436023000997912,-3.7313395847631137
Thalia,2.35758e+18,6.553139e+01,-256861889.666328,-288746397.46030504,21901231.06621338,10.406673654224981,-15.240132373590875,-2.773490105141103
Themis,1.97000e+18,6.172333e+01,417170705.17620283,252256819.91090283,-597298.8287481864,-9.843770746259558,12.855939325943702,0.2089857251906746
Phocaea,8.02540e+17,4.575614e+01,280160256.21441406,-15906806.61394518,68037322.15128036,6.589802370894213,21.7836148794837,-5.630605911649685
Proserpina,1.39465e+18,5.501098e+01,153668438.98335674,403704354.01359016,10540164.424536055,-15.6958121237851,5.736116184636677,0.9498590065550109
Euterpe,2.56134e+18,6.736733e+01,224094166.40901452,-329427936.19485605,-5367795.610247492,12.925309863139313,10.998283772220665,-0.38245029995600427
Bellona,1.99741e+18,6.200823e+01,187631069.7488739,329774903.04874617,-62624365.23190425,-17.784169814769047,7.348930116751845,0.7181144158067179
Amphitrite,1.09261e+19,1.092570e+02,-214844152.33622307,298991142.3384579,30467853.062731054,-16.371620280606283,-10.085711893784936,-1.1741945877281001
Urania,1.21469e+18,5.253507e+01,111788114.21036014,-343867039.2967375,-4499233.116346815,17.1385799584334,8.050775951387816,0.6760771813795551
Euphrosyne,3.33017e+18,7.352742e+01,124277952.47379576,336157520.2432441,110362654.89487548,-19.304743002741994,3.5772681617125714,6.45927185959179
Pomona,9.34258e+17,4.813371e+01,411796738.75046325,-44267209.620956,29229897.155227788,2.54473328138821,16.99466046807542,-1.0823449450396716
Polyhymnia,3.50321e+17,3.470958e+01,160089122.38419086,-266274257.83119252,-9305497.49404301,17.322067922015822,15.653406532668807,0.41759864135405683
Circe,2.37940e+17,3.051050e+01,436046022.6444356,-77842805.00740643,10902343.392351426,2.3858966453304027,16.154939971462962,-1.529220779261802
Leukothea,2.62100e+17,3.151007e+01,517337968.779523,167770107.99748817,31350491.312232222,-3.663816772318481,13.249850360709917,1.7601261981572012
Atalante,3.09362e+17,3.330039e+01,276978989.1907496,88905346.72161938,31820853.35292596,-10.282628557258054,20.775621073847226,6.815030889379284
Fides,1.78841e+18,5.976533e+01,-371329964.23591346,110225940.20267679,8507537.66297571,-8.36134020229894,-16.698262980202554,-0.8284626800358975
Leda,3.26939e+17,3.391949e+01,-374333724.5925011,45696342.52609056,-38621467.580722526,-4.704638174557994,-18.768917583043827,-1.5169859287251413
Laetitia,1.10781e+19,1.097613e+02,345481230.96695054,-139470509.95261365,-915759.5369800283,6.3457780251825024,18.42098249068926,-3.5582807727981556
Harmonia,4.90305e+18,8.364680e+01,180432109.07714525,274948390.58469176,-14993772.459021391,-16.566294219392606,11.802246611414652,1.1596145274033987
Daphne,1.19803e+18,5.229370e+01,402893740.481288,323629859.39917064,-94963014.64726639,-8.377052636631612,10.324184062273059,-2.8239689197665707
Isis,1.01500e+18,4.948224e+01,291741297.87369525,90480495.93429029,-42170723.75870964,-2.9882256800742244,22.097056703277186,0.7590535990595663
Ariadne,7.28562e+17,4.430465e+01,186591491.62703374,314739154.6143283,9686114.8702822,-14.11842072650734,11.063648041497705,-0.9091734662668537
Nysa,3.77109e+18,7.663892e+01,322526643.779611,147877291.59902573,-21974871.104839787,-10.690169764862386,16.31648956512748,-0.18945230794203874
Eugenia,9.47254e+17,4.835589e+01,389040192.90474844,-139052100.42825067,-10253861.916674096,7.234570735993307,16.119888649407226,-2.025760492714434
Hestia,3.26939e+17,3.391949e+01,-386090230.44690496,-194077932.15563568,7545099.275016381,8.633904804402032,-13.713218996808386,0.5711274339959276
Aglaja,5.37609e+17,4.003588e+01,380984863.86372715,97630292.63807459,6691647.711738018,-2.8648006327522406,18.866079295508985,1.652864027244285
Doris,2.29333e+18,6.493059e+01,226291449.00644442,370362959.1118396,-40713231.03747547,-15.543795454822723,8.997234344662745,-1.1510576020933962
Pales,6.79934e+17,4.329616e+01,-509513972.8002667,-233152286.31716993,-30958934.106632896,4.804093197392568,-12.788400459744095,0.06833930832304064
Virginia,9.42902e+16,2.241039e+01,-268093027.41693652,-378850711.682897,20076500.208227117,14.274285399371925,-5.739311272116197,0.20695103284839406
Nemausa,9.73793e+17,4.880332e+01,-286704103.6981947,167701852.9707219,-26154550.280929048,-9.915014963076768,-17.691178863807856,3.215869156694332
Europa,4.32979e+18,8.025080e+01,42528117.33101278,-508285028.54518414,37619606.17229649,15.13967141750831,0.5746546543406224,-1.592592567174618
Kalypso,1.98823e+17,2.873752e+01,-13041893.966107229,-467972884.04658836,34933495.644655466,14.993539197879139,-1.132328325961728,-0.7193087250825173
Alexandra,7.18566e+17,4.410109e+01,303921343.5749101,253169590.1375911,82708708.6477104,-8.71985162647481,15.899955249183023,0.9637127913641588
Pandora,8.48138e+17,4.660681e+01,125681941.26541245,348534774.4738986,40210261.949326165,-17.764422850681502,8.532048195809338,1.471161255593703
Melete,3.26939e+17,3.391949e+01,136553289.57952803,-260036963.88887435,40381656.706599474,20.846668801664837,10.881729688277712,-0.8194758758845778
Mnemosyne,2.90046e+18,7.021815e+01,-107028053.59855942,409988060.8706108,-114958464.79990016,-17.6742139739952,-3.2380969519188034,-0.7589743709607338
Concordia,1.61609e+17,2.681942e+01,-369679169.4792855,-107333753.86698326,19457515.05312204,5.330024573114109,-18.158881116118298,1.3764506891750352
Elpis,6.00436e+17,4.153836e+01,-268602108.2080505,-349523274.6308911,59249741.16962462,13.722770976049022,-8.974866063045214,0.994092060081926
Echo,2.76992e+17,3.209589e+01,-336609929.0622029,-86980989.47701386,967820.4060458243,1.3710604249439473,-19.73024789437346,1.23110236722668
Danae,9.73793e+17,4.880332e+01,-455693529.374086,-173430388.5898252,-117075555.83915965,7.477438042235391,-12.984406323722364,-2.7577695558706328
Erato,1.96095e+17,2.860549e+01,-505885232.3321997,-181330708.44757313,20184931.480765674,3.802683861820461,-13.985343737292295,0.19551262878177553
Ausonia,2.17003e+18,6.374547e+01,22676760.539282817,-310206352.82736546,-28264181.675168157,21.822759879225014,1.492145973342816,0.9634120643796432
Angelina,9.87340e+17,4.902858e+01,-122147173.63951565,-405614164.1940774,-8044492.116448294,15.79062162470388,-6.796349287491804,0.17965299905119625
Cybele,3.37650e+18,7.386681e+01,516731255.38092434,42300078.303538345,-15738220.465163162,0.6916838507933694,15.813527036571884,-0.9133603384204584
Maja,8.09966e+16,2.130342e+01,-427572458.38659596,16712042.928049102,3998159.3217268703,-3.2311764769617843,-16.551012319710416,-0.8491320841992074
Asia,3.96704e+17,3.617840e+01,11288695.27263959,404125797.5563559,-38871317.61209381,-16.690043202537314,2.794563828574121,-0.9506520750798991
Leto,3.06526e+18,7.152360e+01,-69480198.66788964,-393584089.88062686,-32505432.412860792,18.436029278211805,0.3034146401728159,-1.7752619250993389
Hesperia,2.02519e+18,6.229445e+01,467937437.9460843,-31481270.99769413,11263631.246023847,-1.4909200324622474,16.112307445037175,-2.441936897547227
Panopaea,5.30233e+17,3.985193e+01,-222227846.81043804,395682876.1693683,88224050.64575835,-13.345215675951362,-7.454103566729974,1.013544511892263
